Reported Date,Total Dead and Missing,Location Coordinates
1970-07-02,1.0,"18.4701, -69.9001"
1970-01-14,1.0,"40.1144, -88.2735"
1970-01-20,1.0,"14.6211, -90.527"
1970-02-13,7.0,"37.8723, -122.276"
1970-02-13,7.0,"39.9149, -74.1912"
1970-02-13,7.0,"38.7438, -90.3361"
1970-02-13,7.0,"41.8891, -87.9114"
1970-02-13,16.0,"48.1299, 11.575"
1970-02-13,7.0,"37.8723, -122.276"
1970-02-13,7.0,"39.9149, -74.1912"
1970-02-13,7.0,"38.7438, -90.3361"
1970-02-13,7.0,"41.8891, -87.9114"
1970-02-15,1.0,"44.0563, -123.1173"
1970-02-16,1.0,"37.7562, -122.443"
1970-02-16,1.0,"13.7, -88.1"
1970-02-16,1.0,"-31.43, -62.09"
1970-03-05,2.0,"-31.55, -68.52"
1970-03-05,2.0,"18.4037, -66.0636"
1970-03-05,2.0,"18.807, -71.229"
1970-03-05,2.0,"14.6, 121.0333"
1970-03-05,2.0,"26.1903, -98.152"
1970-03-09,2.0,"39.5348, -76.346"
1970-03-14,2.0,"31.2, 29.95"
1970-03-14,2.0,"38.8185, -77.0861"
1970-03-14,2.0,"43.9016, 25.2867"
1970-03-14,2.0,"31.2923, -92.4702"
1970-03-14,2.0,"45.8777, -95.3766"
1970-03-14,2.0,"38.9622, -84.386"
1970-03-14,2.0,"40.2583, -85.676"
1970-03-16,1.0,"34.1417, -117.2945"
1970-03-20,1.0,"42.3834, -83.1024"
1970-03-31,1.0,"14.6211, -90.527"
1970-04-05,1.0,"-30.05, -51.2"
1970-04-11,5.0,"40.6515, -73.585"
1970-04-11,5.0,"42.2892, -89.6348"
1970-04-11,5.0,"28.9454, -95.3602"
1970-04-11,5.0,"43.8556, -70.1009"
1970-04-17,2.0,"37.7903, -122.2165"
1970-04-17,2.0,"41.0314, -74.2408"
1970-04-17,2.0,"35.2256, -89.5372"
1970-04-17,2.0,"44.5595, -69.7328"
1970-04-20,3.0,"42.7003, -71.1626"
1970-04-20,3.0,"38.9598, -95.2641"
1970-04-20,3.0,"39.8674, -85.9904"
1970-04-20,3.0,"40.2954, -74.7205"
1970-04-20,3.0,"40.6042, -73.7149"
1970-04-24,2.0,"39.3051, -76.6144"
1970-04-27,2.0,"41.6559, -91.5304"
1970-05-01,2.0,"41.3112, -72.9246"
1970-05-01,2.0,"41.0673, -85.0233"
1970-05-09,1.0,"38.5667, -121.4683"
1970-05-13,2.0,"41.5725, -93.6105"
1970-05-13,2.0,"47.3914, -122.3154"
1970-05-15,1.0,"47.6211, -122.3244"
1970-05-22,1.0,"44.9477, -93.104"
1970-05-22,10.0,"42.0258, -93.6216"
1970-05-28,1.0,"38.5667, -121.4683"
